id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
sla:0100-23-124898,liquor,Liquor Store,76 Liquors Ltd,"1473 1ST AVENUE, NEW YORK, NY, 10021",Manhattan,10021,0100-23-124898,Active,40.77086,-73.95375,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115790,liquor,Liquor Store,Sela Corp,"4820 13TH AVE, BROOKLYN, NY, 11219",Brooklyn,11219,0100-22-115790,Active,40.63516,-73.99199,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114057,liquor,Liquor Store,Brother Liquors Inc,"637 REMSEN AVE, BROOKLYN, NY, 11236",Brooklyn,11236,0100-21-114057,Active,40.65137,-73.91837,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-20-103664,liquor,Liquor Store,Victor Liquor Inc,"1623 PITKIN AVE, BROOKLYN, NY, 11212",Brooklyn,11212,0100-20-103664,Active,40.66931,-73.9133,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114330,liquor,Liquor Store,999 Wine & Liquor Inc,"437 RIDGEWOOD AVE, BROOKLYN, NY, 11208",Brooklyn,11208,0100-21-114330,Active,40.68545,-73.87259,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115252,liquor,Liquor Store,Slope Cellars Inc,"436 7TH AVENUE, BROOKLYN, NY, 11215",Brooklyn,11215,0100-21-115252,Active,40.66347,-73.98442,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126466,liquor,Liquor Store,A M P Winery Inc,"107 02 A 71ST AVE, FOREST HILLS, NY, 11375",Queens,11375,0100-23-126466,Active,40.71634,-73.8472,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-20-103501,liquor,Liquor Store,Abc Best Wine & Spirit Corp,"8512 23RD AVE, BROOKLYN, NY, 11214",Brooklyn,11214,0100-20-103501,Active,40.6008,-73.99136,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126654,liquor,Liquor Store,Genesis Liquor Store Corp,"896A LAFAYETTE AVE -STORE #1, BROOKLYN, NY, 11221",Brooklyn,11221,0100-23-126654,Active,40.68673,-73.97888,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126933,liquor,Liquor Store,Broad Wine & Spirits Inc,"227 BROAD STREET, STATEN ISLAND, NY, 10304",Staten Island,10304,0100-23-126933,Active,40.62374,-74.0823,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116325,liquor,Liquor Store,Avenue V Discount Liquors Inc,"3021 AVENUE V, BROOKLYN, NY, 11229",Brooklyn,11229,0100-22-116325,Active,40.59871,-73.93756,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116366,liquor,Liquor Store,New Country Club Wine & Liquors Inc,"3464 E TREMONT AVE, BRONX, NY, 10465",Bronx,10465,0100-22-116366,Active,40.83172,-73.82712,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-118144,liquor,Liquor Store,Friendly Liquor Store Corp,"69 15 BEACH CHANNEL DRIVE, ARVERNE, NY, 11692",Queens,11692,0100-22-118144,Active,40.5939,-73.78948,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117397,liquor,Liquor Store,Kingston Wine & Liquor Corp,"77 KINGSTON AVE, BROOKLYN, NY, 11213",Brooklyn,11213,0100-22-117397,Active,40.67737,-73.94142,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126615,liquor,Liquor Store,Oceanview Liquor Inc,"164-09 89TH AVE, JAMAICA, NY, 11432",Queens,11432,0100-23-126615,Active,40.70756,-73.79677,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126742,liquor,Liquor Store,693 Allerton Ave Liquors Inc,"689 691 ALLERTON AVENUE, BRONX, NY, 10467",Bronx,10467,0100-23-126742,Active,40.86545,-73.86767,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124294,liquor,Liquor Store,149 Liquor Store Corp,"456 E 149TH ST, BRONX, NY, 10455",Bronx,10455,0100-23-124294,Active,40.81504,-73.91522,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115983,liquor,Liquor Store,Third Leaf Ventures Llc,"573 VANDERBILT AVE, BROOKLYN, NY, 11238",Brooklyn,11238,0100-22-115983,Active,40.68063,-73.96779,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-122603,liquor,Liquor Store,Atlantic Liquors & Wines Corp.,"2853 Atlantic Ave, Brooklyn, NY, 11207",Brooklyn,11207,0100-25-122603,Active,40.67693,-73.88899,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-118286,liquor,Liquor Store,Sjp Spirits Llc,"1441 Webster Ave, BRONX, NY, 10456",Bronx,10456,0100-24-118286,Active,40.83737,-73.90673,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-118249,liquor,Liquor Store,M 18 Ltd,"4330 18TH AVENUE, BROOKLYN, NY, 11218",Brooklyn,11218,0100-22-118249,Active,40.63087,-73.97684,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-20-103791,liquor,Liquor Store,Somm Cellars Partners Llc,"8 RIVERSIDE BLVD, NEW YORK, NY, 10069",Manhattan,10069,0100-20-103791,Active,40.77292,-73.99309,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117422,liquor,Liquor Store,Uws Wine & Spirits Inc,"2120 BROADWAY, NEW YORK, NY, 10023",Manhattan,10023,0100-22-117422,Active,40.78036,-73.98136,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-113377,liquor,Liquor Store,Btb Wild Llc,"1071 Manhattan Ave, Brooklyn, NY, 11222",Brooklyn,11222,0100-24-113377,Active,40.73534,-73.95511,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116619,liquor,Liquor Store,El Corral Soho Inc,"406 BROOME ST, STORE H AKA 199, NEW YORK, NY, 10013",Manhattan,10013,0100-22-116619,Active,40.72093,-73.99792,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115663,liquor,Liquor Store,Douglaston Wine & Spirits Inc,"242 02 61ST AVE, DOUGLASTON, NY, 11362",Queens,11362,0100-21-115663,Active,40.75466,-73.74008,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115836,liquor,Liquor Store,Linet Liquor Llc,"184 LEXINGTON AVE, NEW YORK, NY, 10016",Manhattan,10016,0100-22-115836,Active,40.74478,-73.9809,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114525,liquor,Liquor Store,Boro Park Wines & Spirits Inc,"5510 13TH AVE, BROOKLYN, NY, 11219",Brooklyn,11219,0100-21-114525,Active,40.63144,-73.99581,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116277,liquor,Liquor Store,Pasricha Inc,"13109 101ST AVE, S RICHMOND HILL, NY, 11419",Queens,11419,0100-22-116277,Active,40.69285,-73.81579,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115617,liquor,Liquor Store,Ona Wine & Spirits Inc,"1685 LEXINGTON AVE, NEW YORK, NY, 10028",Manhattan,10028,0100-22-115617,Active,40.79212,-73.94637,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-113617,liquor,Liquor Store,Bush Hook Liquors Llc,"54 LORRAINE ST, BROOKLYN, NY, 11231",Brooklyn,11231,0100-21-113617,Active,40.67453,-74.00749,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116315,liquor,Liquor Store,A & C Liquor Store Corp,"485 E 180TH ST, BRONX, NY, 10457",Bronx,10457,0100-22-116315,Active,40.85135,-73.89531,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116749,liquor,Liquor Store,Ana Wine And Liquors Llc,"20 Hudson Yards Spc K01, New York, NY, 10001",Manhattan,10001,0100-22-116749,Active,40.75309,-74.00026,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114863,liquor,Liquor Store,Domino Wine Llc,"325 KENT AVE, BROOKLYN, NY, 11249",Brooklyn,11249,0100-21-114863,Active,40.71361,-73.96727,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126482,liquor,Liquor Store,Magnum Wines & Spirits Inc,"61 02 FLUSHING AVENUE, MASPETH, NY, 11378",Queens,11378,0100-23-126482,Active,40.72108,-73.90402,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114519,liquor,Liquor Store,Manhattan Express Liquor Inc,"2025 1ST AVENUE, NEW YORK, NY, 10029",Manhattan,10029,0100-21-114519,Active,40.78861,-73.94081,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115322,liquor,Liquor Store,Luna Wine & Liquor Corp,"535 E TREMONT AVE, BRONX, NY, 10457",Bronx,10457,0100-21-115322,Active,40.84656,-73.89576,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124897,liquor,Liquor Store,"67 Liquor Shop Inc,The","179 COLUMBUS AVENUE, NEW YORK, NY, 10023",Manhattan,10023,0100-23-124897,Active,40.77488,-73.98073,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-108771,liquor,Liquor Store,Ag Liquor And Wine Inc,"232-16 Merrick Blvd, Laurelton, NY, 11413",Queens,11413,0100-25-108771,Active,40.67497,-73.73719,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114771,liquor,Liquor Store,2Jw Wine & Liquors Inc,"47-31 47-33 JUNCTION BLVD, CORONA, NY, 11368",Queens,11368,0100-21-114771,Active,40.74243,-73.86744,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-123697,liquor,Liquor Store,Sublime Deliverance Llc,"385 TOMPKINS AVE, BROOKLYN, NY, 11216",Brooklyn,11216,0100-23-123697,Active,40.6844,-73.94412,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124365,liquor,Liquor Store,28 20 Union Street W L Corp,"28-20 UNION ST, FLUSHING, NY, 11354",Queens,11354,0100-23-124365,Active,40.77234,-73.82657,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116272,liquor,Liquor Store,We Love To Drink Llc,"20 BROADWAY, BROOKLYN, NY, 11249",Brooklyn,11249,0100-22-116272,Active,40.71077,-73.96811,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115794,liquor,Liquor Store,Stop N Buy Liquor Inc,"476 ONDERDONK AVE, RIDGEWOOD, NY, 11385",Queens,11385,0100-21-115794,Active,40.70671,-73.91183,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115103,liquor,Liquor Store,Hck Inc,"1045B E 163RD ST, BRONX, NY, 10459",Bronx,10459,0100-21-115103,Active,40.821,-73.89119,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-114121,liquor,Liquor Store,Timeless Wine & Spirits Corporation,"44-41 Douglaston Pkwy, Little Neck, NY, 11363",Queens,11363,0100-25-114121,Active,40.76554,-73.74449,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-113688,liquor,Liquor Store,Justwin Development Inc,"22212 UNION TPKE, OAKLAND GARDENS, NY, 11364",Queens,11364,0100-21-113688,Active,40.73544,-73.7482,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-113551,liquor,Liquor Store,Tara Wine & Liquor One Inc,"2011 WILLIAMSBRIDGE RD, BRONX, NY, 10461",Bronx,10461,0100-24-113551,Active,40.85464,-73.85475,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115799,liquor,Liquor Store,Briarwood Liquor Store Llc,"13771 QUEENS BLVD, JAMAICA, NY, 11435",Queens,11435,0100-21-115799,Active,40.7091,-73.81887,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115694,liquor,Liquor Store,Liquor Cabinet Ii Inc,"108-20 22 MYRTLE AVE, RICHMOND HILL, NY, 11418",Queens,11418,0100-22-115694,Active,40.70108,-73.84139,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0091-22-102120,liquor,Wine Store,Vino Fino Corp,"1252 AMSTERDAM AVE, NEW YORK, NY, 10027",Manhattan,10027,0091-22-102120,Active,40.81028,-73.95851,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117041,liquor,Liquor Store,Rmkd Liquors Inc,"4038 BROADWAY, NEW YORK, NY, 10032",Manhattan,10032,0100-22-117041,Active,40.84213,-73.93893,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-20-103901,liquor,Liquor Store,Myrtle Liquors Inc,"1440 MYRTLE AVE, BROOKLYN, NY, 11237",Brooklyn,11237,0100-20-103901,Active,40.69892,-73.91716,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124399,liquor,Liquor Store,Tiger Wine Spirit Inc,"14-32 COLLEGE POINT BLVD, COLLEGE POINT, NY, 11356",Queens,11356,0100-23-124399,Active,40.78504,-73.84579,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124565,liquor,Liquor Store,J & N Liquors Inc,"907 WHITE PLAINS RD, BRONX, NY, 10473",Bronx,10473,0100-23-124565,Active,40.82453,-73.85891,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
